X;Y;Z
6.115911006927490234e+00;2.608127832412719727e+00;6.279133796691894531e+00
9.879804611206054688e+00;3.769124031066894531e+00;7.850722312927246094e+00
9.822355270385742188e+00;3.609838247299194336e+00;7.686198234558105469e+00
8.532975196838378906e+00;3.826318264007568359e+00;7.893847465515136719e+00
8.838323593139648438e+00;4.105531215667724609e+00;8.008274078369140625e+00
4.782224655151367188e+00;5.484566211700439453e+00;1.470239162445068359e+00
7.417482376098632812e+00;5.477697372436523438e+00;5.300531387329101562e+00
2.102225303649902344e+00;4.977500438690185547e+00;3.618566751480102539e+00
6.234774589538574219e+00;3.115662097930908203e+00;6.412980079650878906e+00
6.392879486083984375e+00;3.083140134811401367e+00;4.883296966552734375e+00
4.803762435913085938e+00;5.391961574554443359e+00;1.306556820869445801e+00
6.803757190704345703e+00;2.849869489669799805e+00;5.093254089355468750e+00
9.181069374084472656e+00;2.682902336120605469e+00;5.475674152374267578e+00
6.595704078674316406e+00;2.654128074645996094e+00;5.431257247924804688e+00
5.744558334350585938e+00;3.796613931655883789e+00;2.418974637985229492e+00
4.688179969787597656e+00;5.211396217346191406e+00;1.772375106811523438e+00
9.323821067810058594e+00;2.710445642471313477e+00;5.525156974792480469e+00
7.175409793853759766e+00;4.814267635345458984e+00;4.801110744476318359e+00
7.302641868591308594e+00;4.383038520812988281e+00;4.083431243896484375e+00
2.774617433547973633e+00;4.587189674377441406e+00;3.453515768051147461e+00
4.802856922149658203e+00;5.367816925048828125e+00;1.299030780792236328e+00
4.745229721069335938e+00;5.369111061096191406e+00;1.423025608062744141e+00
9.297052383422851562e+00;3.004405736923217773e+00;5.437046527862548828e+00
8.089633941650390625e+00;3.622350692749023438e+00;7.667096614837646484e+00
9.920867919921875000e+00;4.095294475555419922e+00;8.201416015625000000e+00
8.964910507202148438e+00;4.209813594818115234e+00;8.571146011352539062e+00
2.380451440811157227e+00;4.804311752319335938e+00;3.395970344543457031e+00
9.413387298583984375e+00;2.630651473999023438e+00;5.825418949127197266e+00
6.627586841583251953e+00;2.780040979385375977e+00;6.034345626831054688e+00
7.615082740783691406e+00;3.326496601104736328e+00;7.442716121673583984e+00
5.313412666320800781e+00;4.229261398315429688e+00;2.291573047637939453e+00
6.155681610107421875e+00;2.548471927642822266e+00;6.147531509399414062e+00
8.061089515686035156e+00;5.623561859130859375e+00;7.825784206390380859e+00
6.873116493225097656e+00;5.675798416137695312e+00;6.754898071289062500e+00
4.756597518920898438e+00;5.683252811431884766e+00;3.807268857955932617e+00
